,id,c_percent,n_percent,lat,lon,z,site,site_alt,site_alt_id,lower_bin,upper_bin,_x,_y,core,x,y
696,24-2-A,0.3982647881062747,0.409,32.4216180984696,-85.4147157436893,-2.5,23,23_A,A,-5.0,0.0,-12635.300648229237,-6157.548776532605,2,-12135.300648229237,-5657.548776532605
697,24-2-B,0.3504930114029026,0.381,32.4216180984696,-85.4147157436893,-7.5,23,23_B,B,-10.0,-5.0,-12635.300648229237,-6157.548776532605,2,-12135.300648229237,-5657.548776532605
698,24-2-C,0.5431155239677037,0.465,32.4216180984696,-85.4147157436893,-12.5,23,23_C,C,-15.0,-10.0,-12635.300648229237,-6157.548776532605,2,-12135.300648229237,-5657.548776532605
699,24-2-D,0.49559056331692974,0.474,32.4216180984696,-85.4147157436893,-17.5,23,23_D,D,-20.0,-15.0,-12635.300648229237,-6157.548776532605,2,-12135.300648229237,-5657.548776532605
700,24-2-E,0.33579921326819473,0.261,32.4216180984696,-85.4147157436893,-22.5,23,23_E,E,-25.0,-20.0,-12635.300648229237,-6157.548776532605,2,-12135.300648229237,-5657.548776532605
701,24-2-F,0.18493135523190682,0.156,32.4216180984696,-85.4147157436893,-27.5,23,23_F,F,-30.0,-25.0,-12635.300648229237,-6157.548776532605,2,-12135.300648229237,-5657.548776532605
702,24-3-A,0.8159260024032684,0.731,32.4216180984696,-85.4147157436893,-2.5,23,23_A,A,-5.0,0.0,-12635.300648229237,-6157.548776532605,3,-12135.300648229237,-6657.548776532605
703,24-3-B,0.8390947006450745,0.741,32.4216180984696,-85.4147157436893,-7.5,23,23_B,B,-10.0,-5.0,-12635.300648229237,-6157.548776532605,3,-12135.300648229237,-6657.548776532605
704,24-3-C,0.6438366355898567,0.644,32.4216180984696,-85.4147157436893,-12.5,23,23_C,C,-15.0,-10.0,-12635.300648229237,-6157.548776532605,3,-12135.300648229237,-6657.548776532605
705,24-3-D,0.5607724224636006,0.52,32.4216180984696,-85.4147157436893,-17.5,23,23_D,D,-20.0,-15.0,-12635.300648229237,-6157.548776532605,3,-12135.300648229237,-6657.548776532605
706,24-3-E,0.6172688253012049,0.65,32.4216180984696,-85.4147157436893,-22.5,23,23_E,E,-25.0,-20.0,-12635.300648229237,-6157.548776532605,3,-12135.300648229237,-6657.548776532605
707,24-3-F,0.4828051444790843,0.569,32.4216180984696,-85.4147157436893,-27.5,23,23_F,F,-30.0,-25.0,-12635.300648229237,-6157.548776532605,3,-12135.300648229237,-6657.548776532605
708,24-4-A,1.1254439681785904,1.278,32.4216180984696,-85.4147157436893,-2.5,23,23_A,A,-5.0,0.0,-12635.300648229237,-6157.548776532605,4,-13135.300648229237,-5657.548776532605
709,24-4-B,0.658964882372997,0.6,32.4216180984696,-85.4147157436893,-7.5,23,23_B,B,-10.0,-5.0,-12635.300648229237,-6157.548776532605,4,-13135.300648229237,-5657.548776532605
710,24-4-C,0.6132471368676047,0.58,32.4216180984696,-85.4147157436893,-12.5,23,23_C,C,-15.0,-10.0,-12635.300648229237,-6157.548776532605,4,-13135.300648229237,-5657.548776532605
711,24-4-D,0.32694231758320175,0.294,32.4216180984696,-85.4147157436893,-17.5,23,23_D,D,-20.0,-15.0,-12635.300648229237,-6157.548776532605,4,-13135.300648229237,-5657.548776532605
712,24-4-E,0.2384257986595667,0.227,32.4216180984696,-85.4147157436893,-22.5,23,23_E,E,-25.0,-20.0,-12635.300648229237,-6157.548776532605,4,-13135.300648229237,-5657.548776532605
713,24-4-F,0.19953214435146438,0.175,32.4216180984696,-85.4147157436893,-27.5,23,23_F,F,-30.0,-25.0,-12635.300648229237,-6157.548776532605,4,-13135.300648229237,-5657.548776532605
714,24-5-A,1.0091148533144307,1.02,32.4216180984696,-85.4147157436893,-2.5,23,23_A,A,-5.0,0.0,-12635.300648229237,-6157.548776532605,5,-13135.300648229237,-6657.548776532605
715,24-5-B,1.1792696663121767,1.203,32.4216180984696,-85.4147157436893,-7.5,23,23_B,B,-10.0,-5.0,-12635.300648229237,-6157.548776532605,5,-13135.300648229237,-6657.548776532605
716,24-5-C,0.7934297227471819,0.927,32.4216180984696,-85.4147157436893,-12.5,23,23_C,C,-15.0,-10.0,-12635.300648229237,-6157.548776532605,5,-13135.300648229237,-6657.548776532605
717,24-5-D,0.6506621752845908,0.609,32.4216180984696,-85.4147157436893,-17.5,23,23_D,D,-20.0,-15.0,-12635.300648229237,-6157.548776532605,5,-13135.300648229237,-6657.548776532605
718,24-5-E,0.31661791803926737,0.241,32.4216180984696,-85.4147157436893,-22.5,23,23_E,E,-25.0,-20.0,-12635.300648229237,-6157.548776532605,5,-13135.300648229237,-6657.548776532605
719,24-5-F,0.20406393990744678,0.154,32.4216180984696,-85.4147157436893,-27.5,23,23_F,F,-30.0,-25.0,-12635.300648229237,-6157.548776532605,5,-13135.300648229237,-6657.548776532605
